1,Bulbasaur,Grass,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,318,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,405,60,62,63,80,80,60
3,Venusaur,Grass,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,525,80,82,83,100,100,80
3,Venusaur,Grass,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,625,80,100,123,122,120,80
4,Charmander,Fire,,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,309,39,52,43,60,50,65
5,Charmeleon,Fire,,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,405,58,64,58,80,65,80
6,Charizard,Fire,Flying,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,534,78,84,78,109,85,100
6,Charizard,Fire,Dragon,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,634,78,130,111,130,85,100
6,Charizard,Fire,Flying,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,634,78,104,78,159,115,100
7,Squirtle,Water,,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,314,44,48,65,50,64,43
8,Wartortle,Water,,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,405,59,63,80,65,80,58
9,Blastoise,Water,,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,530,79,83,100,85,105,78
9,Blastoise,Water,,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,630,79,103,120,135,115,78
10,Caterpie,Bug,,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,195,45,30,35,20,20,45
11,Metapod,Bug,,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,205,50,20,55,25,25,30
12,Butterfree,Bug,Flying,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,395,60,45,50,90,80,70
13,Weedle,Bug,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,195,40,35,30,20,20,50
14,Kakuna,Bug,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,205,45,25,50,25,25,35
15,Beedrill,Bug,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,395,65,90,40,45,80,75
15,Beedrill,Bug,Poison,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,495,65,150,40,15,80,145
16,Pidgey,Normal,Flying,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,251,40,45,40,35,35,56
